1[260, 300] [211, 248]
[260, 300] [210, 249]
[261, 301] [211, 249]
[262, 301] [213, 248]
[264, 302] [213, 248]
[265, 302] [213, 249]
[266, 301] [213, 251]
[267, 302] [213, 250]
[270, 302] [214, 249]
[271, 302] [214, 249]
[273, 301] [216, 250]
[274, 302] [217, 251]
[274, 302] [217, 250]
[276, 302] [217, 251]
[278, 302] [217, 253]
[280, 302] [217, 253]
[282, 302] [219, 252]
[283, 302] [219, 252]
[285, 302] [219, 253]
[286, 302] [220, 255]
[287, 302] [221, 254]
[289, 302] [222, 255]
[290, 302] [222, 255]
[292, 302] [222, 256]
[294, 302] [223, 257]
[295, 302] [224, 258]
[297, 302] [225, 256]
[299, 302] [226, 258]
[301, 302] [227, 258]
[303, 302] [228, 259]
[305, 302] [229, 259]
[306, 302] [230, 259]
[309, 303] [231, 261]
[311, 302] [232, 262]
[312, 302] [232, 262]
[313, 302] [234, 262]
[315, 302] [235, 264]
[317, 302] [237, 264]
[319, 302] [238, 264]
[320, 301] [240, 266]
[322, 302] [242, 266]
[324, 302] [242, 267]
[327, 302] [244, 269]
[329, 301] [245, 270]
[331, 301] [248, 270]
[331, 301] [250, 271]
[333, 301] [252, 272]
[348, 302] [260, 266]
[363, 303] [272, 259]
[378, 304] [283, 252]
[387, 304] [295, 245]
[403, 305] [307, 238]
[436, 370] [319, 231]
[435, 359] [330, 224]
[437, 310] [342, 218]
[448, 303] [354, 211]
[459, 297] [366, 204]
[471, 290] [377, 198]
[482, 283] [390, 191]
[495, 277] [403, 184]
[505, 270] [415, 178]
[517, 263] [427, 171]
[529, 256] [439, 165]
[540, 249] [450, 158]
[551, 242] [461, 152]
[559, 235] [473, 146]
[561, 229] [484, 138]
[564, 222] [495, 134]
[566, 216] [507, 129]
[566, 209] [518, 124]
[616, 198] [556, 117]
[627, 197] [561, 111]
[638, 199] [563, 105]
[649, 226] [571, 99]
[661, 219] [575, 93]
[672, 171] [586, 87]
[682, 166] [597, 81]
[693, 160] [608, 75]
[704, 154] [619, 70]
[716, 149] [630, 64]
[726, 142] [640, 58]
[735, 135] [651, 53]
[744, 128] [662, 47]
[755, 122] [674, 41]
[767, 117] [684, 35]
[777, 112] [695, 30]
[787, 107] [705, 25]
[797, 100] [715, 20]
[799, 93] [726, 14]
[799, 87] [738, 9]
[799, 82] [748, 3]
[799, 76] [760, 0]
[799, 65] [772, 0]
[323, 40] [298, 4]
[323, 39] [298, 4]
